date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:24:45	163/163	---MC-	200	added ('OK')	text/plain	date:Thu,%2006%20Feb%202025%2023:24:44%20GMT	https://www.haplink.net/robots.txt		(from )
18:24:45	102502/102502	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202025%2023:24:44%20GMT	https://www.haplink.net/	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/index.html	(from )
18:24:46	16384/16384	---M--	200	added ('OK')	text/css	etag:%224000-61df51878510f%22	https://www.haplink.net/wp-includes/blocks/navigation/style.min.css?ver=6.7.1	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-includes/blocks/navigation/style.min9704.css	(from https://www.haplink.net/)
18:24:46	41981/41981	---MC-	200	added ('OK')	application/rss+xml	etag:%221543c5308377a025873bbe6659b0d3fc%22	https://www.haplink.net/feed/	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/feed/index.html	(from https://www.haplink.net/)
18:24:46	18099/18099	---M--	200	added ('OK')	text/css	etag:%2246b3-626d646e2a55f%22	https://www.haplink.net/wp-includes/blocks/cover/style.min.css?ver=6.7.1	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-includes/blocks/cover/style.min9704.css	(from https://www.haplink.net/)
18:24:46	1693/1693	---MC-	200	added ('OK')	application/rss+xml	etag:%221543c5308377a025873bbe6659b0d3fc%22	https://www.haplink.net/comments/feed/	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/comments/feed/index.html	(from https://www.haplink.net/)
18:24:46	6708/6708	---M--	200	added ('OK')	text/css	etag:%221a34-626d646e583c7%22	https://www.haplink.net/wp-includes/blocks/image/style.min.css?ver=6.7.1	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-includes/blocks/image/style.min9704.css	(from https://www.haplink.net/)
18:24:46	3373/3373	---M--	200	added ('OK')	text/css	etag:%22d2d-60ec62715eb97%22	https://www.haplink.net/wp-content/themes/business-growth-x/assets/css/patterns.css?ver=1705094083	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-content/themes/business-growth-x/assets/css/patternscacd.css	(from https://www.haplink.net/)
18:24:47	3501/3501	---M--	200	added ('OK')	text/css	etag:%22dad-60ec6272b294f%22	https://www.haplink.net/wp-content/themes/simple-nova/assets/css/patterns.css?ver=1705094083	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-content/themes/simple-nova/assets/css/patternscacd.css	(from https://www.haplink.net/)
18:24:47	108295/108295	---MC-	200	added ('OK')	application/json	date:Thu,%2006%20Feb%202025%2023:24:46%20GMT	https://www.haplink.net/wp-json/wp/v2/pages/8	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-json/wp/v2/pages/8.json	(from https://www.haplink.net/)
18:24:47	804/804	---M--	200	added ('OK')	text/xml	date:Thu,%2006%20Feb%202025%2023:24:47%20GMT	https://www.haplink.net/xmlrpc.php?rsd	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/xmlrpc0db0.php	(from https://www.haplink.net/)
18:24:47	223930/223930	---MC-	200	added ('OK')	application/json	date:Thu,%2006%20Feb%202025%2023:24:47%20GMT	https://www.haplink.net/wp-json/	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-json/index.html	(from https://www.haplink.net/)
18:24:48	2042/2042	---MC-	200	added ('OK')	application/json	date:Thu,%2006%20Feb%202025%2023:24:47%20GMT	https://www.haplink.net/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.haplink.net%2F	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-json/oembed/1.0/embed1f6b.json	(from https://www.haplink.net/)
18:24:48	2204/2204	---MC-	200	added ('OK')	text/xml	date:Thu,%2006%20Feb%202025%2023:24:47%20GMT	https://www.haplink.net/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.haplink.net%2F&format=xml	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-json/oembed/1.0/embedddb9	(from https://www.haplink.net/)
18:24:48	3300/3300	---M--	200	added ('OK')	text/javascript	etag:%22ce4-626d647029197%22	https://www.haplink.net/wp-includes/js/dist/script-modules/block-library/navigation/view.min.js?ver=8ff192874fc8910a284c	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-includes/js/dist/script-modules/block-library/navigation/view.minf7ab.js	(from https://www.haplink.net/)
18:24:48	36695/36695	---M--	200	added ('OK')	text/javascript	etag:%228f57-626d64702dfb8%22	https://www.haplink.net/wp-includes/js/dist/script-modules/interactivity/index.min.js?ver=06b8f695ef48ab2d9277	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-includes/js/dist/script-modules/interactivity/index.min563f.js	(from https://www.haplink.net/)
18:24:48	193384/193384	---M--	200	added ('OK')	font/ttf	etag:%222f368-60ec627164958%22	https://www.haplink.net/wp-content/themes/business-growth-x/assets/fonts/playfair-display/PlayfairDisplay-Regular.ttf	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-content/themes/business-growth-x/assets/fonts/playfair-display/PlayfairDisplay-Regular.ttf	(from https://www.haplink.net/)
18:24:49	193836/193836	---M--	200	added ('OK')	font/ttf	etag:%222f52c-60ec627164958%22	https://www.haplink.net/wp-content/themes/business-growth-x/assets/fonts/playfair-display/PlayfairDisplay-SemiBold.ttf	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-content/themes/business-growth-x/assets/fonts/playfair-display/PlayfairDisplay-SemiBold.ttf	(from https://www.haplink.net/)
18:24:49	56352/56352	---M--	200	added ('OK')	font/ttf	etag:%22dc20-60ec62715fb38%22	https://www.haplink.net/wp-content/themes/business-growth-x/assets/fonts/dm-sans/DMSans-Regular.ttf	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-content/themes/business-growth-x/assets/fonts/dm-sans/DMSans-Regular.ttf	(from https://www.haplink.net/)
18:24:49	193724/193724	---M--	200	added ('OK')	font/ttf	etag:%222f4bc-60ec627162a18%22	https://www.haplink.net/wp-content/themes/business-growth-x/assets/fonts/playfair-display/PlayfairDisplay-Bold.ttf	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-content/themes/business-growth-x/assets/fonts/playfair-display/PlayfairDisplay-Bold.ttf	(from https://www.haplink.net/)
18:24:49	56272/56272	---M--	200	added ('OK')	font/ttf	etag:%22dbd0-60ec62715fb38%22	https://www.haplink.net/wp-content/themes/business-growth-x/assets/fonts/dm-sans/DMSans-Bold.ttf	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-content/themes/business-growth-x/assets/fonts/dm-sans/DMSans-Bold.ttf	(from https://www.haplink.net/)
18:24:49	6496/6496	---M--	200	added ('OK')	image/jpeg	etag:%221960-60f01f63fb7b8%22	https://www.haplink.net/wp-content/uploads/2024/01/Drawing.sketchpad-1-pdf-150x150.jpg	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-content/uploads/2024/01/Drawing.sketchpad-1-pdf-150x150.jpg	(from https://www.haplink.net/)
18:24:50	11481/11481	---M--	200	added ('OK')	image/jpeg	etag:%222cd9-60f01f63f88d8%22	https://www.haplink.net/wp-content/uploads/2024/01/Drawing.sketchpad-1-pdf-300x300.jpg	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-content/uploads/2024/01/Drawing.sketchpad-1-pdf-300x300.jpg	(from https://www.haplink.net/)
18:24:50	778946/778946	---M--	200	added ('OK')	image/jpeg	etag:%22be2c2-60ed42c0cdab2%22	https://www.haplink.net/wp-content/uploads/2024/01/IMG_7438.jpeg	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-content/uploads/2024/01/IMG_7438.jpg	(from https://www.haplink.net/)
18:24:50	804627/804627	---M--	200	added ('OK')	image/jpeg	etag:%22c4713-60eedd64619db%22	https://www.haplink.net/wp-content/uploads/2024/01/texas-1584104_1920.jpg	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-content/uploads/2024/01/texas-1584104_1920.jpg	(from https://www.haplink.net/)
18:24:50	550732/550732	---M--	200	added ('OK')	image/jpeg	etag:%228674c-60eec5c0582c9%22	https://www.haplink.net/wp-content/uploads/2024/01/StatesPicture-edited.jpeg	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-content/uploads/2024/01/StatesPicture-edited.jpg	(from https://www.haplink.net/)
18:24:51	137176/137176	---M--	200	added ('OK')	image/jpeg	etag:%22217d8-60eedc0722bac%22	https://www.haplink.net/wp-content/uploads/2024/01/yeloow-spinnny-edited.jpg	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-content/uploads/2024/01/yeloow-spinnny-edited.jpg	(from https://www.haplink.net/)
18:24:51	652700/652700	---M--	200	added ('OK')	image/jpeg	etag:%229f59c-61547ba888964%22	https://www.haplink.net/wp-content/uploads/2024/04/IMG_2821-2-scaled.jpg	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-content/uploads/2024/04/IMG_2821-2-scaled.jpg	(from https://www.haplink.net/)
18:24:51	95575/95575	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202025%2023:24:50%20GMT	https://www.haplink.net/our-team/	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/our-team/index.html	(from https://www.haplink.net/)
18:24:51	66663/66663	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202025%2023:24:51%20GMT	https://www.haplink.net/happy-haptic-doctors-robot-design/	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/happy-haptic-doctors-robot-design/index.html	(from https://www.haplink.net/)
18:24:51	140963/140963	---M--	200	added ('OK')	image/jpeg	etag:%22226a3-60f110d69373f%22	https://www.haplink.net/wp-content/uploads/2024/01/square-jacob.jpg	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-content/uploads/2024/01/square-jacob.jpg	(from https://www.haplink.net/)
18:24:52	633376/633376	---M--	200	added ('OK')	image/jpeg	etag:%229aa20-61547bad34ecf%22	https://www.haplink.net/wp-content/uploads/2024/04/IMG_2819-1.jpg	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-content/uploads/2024/04/IMG_2819-1.jpg	(from https://www.haplink.net/)
18:24:52	768067/768067	---M--	200	added ('OK')	image/jpeg	etag:%22bb843-60efd28f75115%22	https://www.haplink.net/wp-content/uploads/2024/01/taylorconcert.jpeg	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-content/uploads/2024/01/taylorconcert.jpg	(from https://www.haplink.net/)
18:24:52	41025/41025	---M--	200	added ('OK')	image/jpeg	etag:%22a041-61547c7ad4cda%22	https://www.haplink.net/wp-content/uploads/2024/04/istockphoto-469569148-612x612-2.jpg	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-content/uploads/2024/04/istockphoto-469569148-612x612-2.jpg	(from https://www.haplink.net/)
18:24:52	96119/96119	---M--	200	added ('OK')	image/jpeg	etag:%2217777-61547d269184a%22	https://www.haplink.net/wp-content/uploads/2024/04/Taylor-Swift-The-Eras-Tour-1024x683.jpg	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-content/uploads/2024/04/Taylor-Swift-The-Eras-Tour-1024x683.jpg	(from https://www.haplink.net/)
18:24:52	82516/82516	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202025%2023:24:51%20GMT	https://www.haplink.net/2024-worlds/	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/2024-worlds/index.html	(from https://www.haplink.net/)
18:24:52	457/457	---M--	200	added ('OK')	text/javascript	etag:%221c9-6152853c31412%22	https://www.haplink.net/wp-includes/js/dist/dom-ready.min.js?ver=f77871ff7694fffea381	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-includes/js/dist/dom-ready.min5346.js	(from https://www.haplink.net/)
18:24:52	6581/6581	---M--	200	added ('OK')	text/javascript	etag:%2219b5-60e79d7f58090%22	https://www.haplink.net/wp-content/plugins/astra-sites/inc/lib/onboarding/assets/dist/template-preview/main.js?ver=06758d4d807d9d22c6ea	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-content/plugins/astra-sites/inc/lib/onboarding/assets/dist/template-preview/maina11c.js	(from https://www.haplink.net/)
18:24:55	69408/69408	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202025%2023:24:52%20GMT	https://www.haplink.net/donate/	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/donate/index.html	(from https://www.haplink.net/)
18:24:55	73680/73680	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202025%2023:24:52%20GMT	https://www.haplink.net/2024/04/26/innovation-presentation/	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/2024/04/26/innovation-presentation/index.html	(from https://www.haplink.net/)
18:24:55	73020/73020	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202025%2023:24:53%20GMT	https://www.haplink.net/author/haplink_nmrwbj/	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/author/haplink_nmrwbj/index.html	(from https://www.haplink.net/)
